,longitude,latitude,owner
117,30.322657,59.958369999999995,50158479@N05
118,30.336078999999998,59.929143,50158479@N05
119,30.337801000000002,59.94031999999999,50158479@N05
120,30.328229999999998,59.951625,50158479@N05
121,30.329582000000002,59.953242,50158479@N05
122,30.381782,59.942115,145565190@N05
123,30.342528,59.933398,145565190@N05
124,30.321799,59.942823,143103827@N05
125,30.352005,59.943276000000004,43205617@N06
126,30.307298,59.933191,127795981@N06
127,30.339378000000004,59.964774,43205617@N06
128,30.403962,59.940675,145565190@N05
129,30.396665999999996,59.942995999999994,145565190@N05
130,30.302953000000002,59.946715000000005,48185104@N04
131,30.342918,59.937096,56334423@N00
132,30.449508,59.91734399999999,139699994@N05
133,30.449505,59.917513,139699994@N05
134,30.449463,59.917396999999994,139699994@N05
135,30.449458,59.917522,139699994@N05
136,30.449665999999997,59.917246999999996,139699994@N05
137,30.328874,59.94009499999999,43205617@N06
138,30.328884999999996,59.940089,43205617@N06
139,30.348694000000002,60.008727,140264807@N07
141,30.319453999999997,59.943512,93332534@N08
142,30.331041,59.929198,163622925@N05
143,30.303490000000004,59.946059,48185104@N04
144,30.303660999999998,59.941525,33277678@N03
145,30.301013,59.940211,33277678@N03
146,30.306729999999998,59.932953000000005,127795981@N06
147,30.296559000000002,59.926494999999996,146152811@N07
148,30.285487,59.925802000000004,146152811@N07
150,30.337102,59.954502000000005,57445335@N00
151,30.342675,59.933861,55016694@N05
152,30.339689,59.953348,164894858@N03
153,30.449677,59.91758000000001,139699994@N05
154,30.449455,59.917469,139699994@N05
155,30.450177000000004,59.917605,139699994@N05
156,30.449755,59.91758299999999,139699994@N05
158,30.293055,59.931399,96497948@N04
159,30.338465999999997,59.953968,50158479@N05
160,30.337821999999996,59.955418,50158479@N05
161,30.337885999999997,59.956825,50158479@N05
163,30.352434999999996,59.943029,50158479@N05
164,30.449471999999997,59.917213000000004,139699994@N05
165,30.449688000000002,59.917388,139699994@N05
166,30.449340999999997,59.917457999999996,139699994@N05
167,30.449158,59.917513,139699994@N05
168,30.450740999999997,59.91798299999999,139699994@N05
169,30.4497,59.917632999999995,139699994@N05
170,30.449525,59.917677000000005,139699994@N05
171,30.44933,59.917513,139699994@N05
172,30.449644,59.917660999999995,139699994@N05
173,30.449483,59.917288,139699994@N05
174,30.44998,59.917930000000005,139699994@N05
175,30.319819,59.943534,93332534@N08
176,30.322072,59.932931,127795981@N06
177,30.323982,59.935318,127795981@N06
179,30.302588,59.936021,155632720@N03
180,30.332057,59.93881,145565190@N05
181,30.404326,59.942389,145565190@N05
182,30.290833000000003,59.937052,57445335@N00
183,30.319744,59.926761,57445335@N00
185,30.359696999999997,59.926868999999996,57445335@N00
186,30.360021999999997,59.92781899999999,57445335@N00
187,30.300105,59.90771899999999,57445335@N00
190,30.31618,59.938807999999995,57445335@N00
191,30.315860999999998,59.939177,57445335@N00
192,30.317227000000003,59.937943999999995,57445335@N00
193,30.316188,59.95013,57445335@N00
195,30.308419,59.941072,57445335@N00
196,30.308636,59.940957999999995,57445335@N00
197,30.350664000000002,59.92735,146152811@N07
198,30.350686,59.927339,146152811@N07
199,30.271660999999998,59.876852,102798525@N07
200,30.305999999999997,59.934139,84054295@N08
201,30.260479999999998,59.906263,142785886@N06
202,30.235533,59.927025,38107537@N03
235,30.351665999999998,59.941666000000005,147567774@N02
236,30.33848,59.958861,26999357@N07
237,30.30188,59.93659,84054295@N08
238,30.332027000000004,59.934574,140264807@N07
239,30.362859000000004,59.93131700000001,145565190@N05
240,30.316843,59.938353,145565190@N05
241,30.314296999999996,59.940105,145565190@N05
242,30.260271999999997,59.905602,142785886@N06
243,30.449494,59.91758000000001,139699994@N05
244,30.449463,59.917441000000004,139699994@N05
245,30.449536,59.91756899999999,139699994@N05
246,30.449291,59.9173,139699994@N05
247,30.450029999999998,59.917593999999994,139699994@N05
248,30.449333000000003,59.917530000000006,139699994@N05
249,30.449219,59.91743,139699994@N05
250,30.449469,59.917427,139699994@N05
251,30.306510999999997,59.907536,88046665@N02
252,30.306502000000002,59.9075,88046665@N02
253,30.298163,59.907410999999996,88046665@N02
254,30.297788,59.90771899999999,88046665@N02
255,30.298619,59.907552,88046665@N02
256,30.298775,59.907586,88046665@N02
257,30.298911,59.907563,88046665@N02
258,30.29903,59.907593999999996,88046665@N02
259,30.307727000000003,59.93535,88046665@N02
260,30.317513,59.937282999999994,88046665@N02
261,30.299697,59.908425,88046665@N02
262,30.300077,59.907922,88046665@N02
263,30.309022,59.934771999999995,88046665@N02
264,30.317660999999998,59.93963000000001,88046665@N02
265,30.318519000000002,59.939930000000004,88046665@N02
266,30.318619,59.939896999999995,88046665@N02
267,30.32783,59.940833,88046665@N02
268,30.328477000000003,59.940672,88046665@N02
269,30.330858000000003,59.938047,88046665@N02
270,30.317596999999996,59.939666,88046665@N02
271,30.319163,59.940011,88046665@N02
272,30.317327000000002,59.939502000000005,88046665@N02
273,30.307244,59.933780000000006,88046665@N02
