,site_id,url,deal_type,city,zip_code,post_canton,accuracy,latitude,longitude,price_unit,price,property_type,living_space,rooms,perspective,year_built,outdoor_parking,indoor_parking,balcony,property_area,fireplace,pets_allowed,floor,wheelchair_accessible,ceiling_height,lift,cable_tv,last_renovation,floor_space,cubage,minergie_certified
3982,3000405672,https://www.homegate.ch/rent/3000405672,rent,Affoltern am Albis,8910,ZH,HIGH,47.2810294,8.453826800000002,Month,2190.0,APARTMENT,135.0,4.5,1.0,1996.0,,1.0,1.0,,,1.0,3,,,1.0,1.0,,,,
3996,3000417453,https://www.homegate.ch/rent/3000417453,rent,Rottenschwil,8919,AG,MEDIUM,47.3138938,8.3626186,Month,500.0,APARTMENT,18.0,,,,,,,,,,,,,,,,,,
3997,3000433585,https://www.homegate.ch/rent/3000433585,rent,Mettmenstetten,8932,ZH,HIGH,47.2436798,8.4608113,Month,450.0,APARTMENT,,1.0,1.0,,,1.0,,,,,2,,,,,2020.0,16.0,,
3998,3000384366,https://www.homegate.ch/rent/3000384366,rent,Mettmenstetten,8932,ZH,HIGH,47.24746409999999,8.4675428,Month,1640.0,APARTMENT,,3.5,,,1.0,,1.0,,,,Ground,,,,1.0,,,,
4001,3000236595,https://www.homegate.ch/rent/3000236595,rent,Berg am Irchel,8415,ZH,HIGH,47.5703322,8.5984839,Month,1950.0,APARTMENT,,5.5,,,1.0,,1.0,,1.0,,1,,,,1.0,,,,
4002,3000187051,https://www.homegate.ch/rent/3000187051,rent,Berg am Irchel,8415,ZH,HIGH,47.5699036,8.594567,Month,2000.0,APARTMENT,110.0,4.5,,1996.0,1.0,,1.0,,,,1,,,,1.0,2015.0,,,
4003,3000325154,https://www.homegate.ch/rent/3000325154,rent,Oberlunkhofen,8917,AG,HIGH,47.3108789,8.3900908,Month,2800.0,APARTMENT,150.0,5.5,1.0,2017.0,1.0,1.0,1.0,,,,2,,,,1.0,,,,
4005,3000431061,https://www.homegate.ch/rent/3000431061,rent,Bachenbülach,8184,ZH,HIGH,47.50729690000001,8.544247499999999,Month,1260.0,APARTMENT,,3.5,,,1.0,1.0,1.0,,,,Ground,,,,,,75.0,,
4006,3000399963,https://www.homegate.ch/rent/3000399963,rent,Bachenbülach,8184,ZH,HIGH,47.5049844,8.5443321,Month,1560.0,APARTMENT,78.0,4.0,,,,,1.0,,,,3,,,,1.0,,,,
4014,3000180287,https://www.homegate.ch/rent/3000180287,rent,Affoltern am Albis,8910,ZH,HIGH,47.2794238,8.4456987,Month,2200.0,APARTMENT,106.0,4.5,,,,,,,,,1,,,,,2019.0,,,
4015,3000324413,https://www.homegate.ch/rent/3000324413,rent,Affoltern am Albis,8910,ZH,HIGH,47.2829183,8.4558719,Month,2240.0,APARTMENT,90.0,4.0,,1985.0,,1.0,1.0,,,1.0,1,,,1.0,1.0,,,222.0,
4025,3000169769,https://www.homegate.ch/rent/3000169769,rent,Pfungen,8422,ZH,HIGH,47.51758539999999,8.6384653,Month,1540.0,APARTMENT,55.0,2.5,,2017.0,,,1.0,,,1.0,,1.0,,1.0,1.0,,,,
4026,3000410204,https://www.homegate.ch/rent/3000410204,rent,Pfungen,8422,ZH,HIGH,47.517374,8.640560299999999,Month,1580.0,APARTMENT,74.0,3.5,,1996.0,,,,,,1.0,2,,,,,2011.0,,,
4027,3000408761,https://www.homegate.ch/rent/3000408761,rent,Dättlikon,8421,ZH,HIGH,47.5267191,8.6213828,Month,1600.0,APARTMENT,15.0,1.0,1.0,1996.0,1.0,,1.0,,,,,,2.4,,1.0,2018.0,150.0,,
4028,3000331822,https://www.homegate.ch/rent/3000331822,rent,Dättlikon,8421,ZH,MEDIUM,47.5256921,8.6253417,Month,1850.0,APARTMENT,83.0,3.5,,2011.0,1.0,,,,,,2,,,,,,,,
4029,3000188714,https://www.homegate.ch/rent/3000188714,rent,Mettmenstetten,8932,ZH,HIGH,47.2476852,8.467869799999999,Month,1680.0,APARTMENT,65.0,3.5,,,,,,,,,Ground,,,,,,,,
4030,3000384842,https://www.homegate.ch/rent/3000384842,rent,Mettmenstetten,8932,ZH,HIGH,47.24369859999999,8.4640152,Month,1714.0,APARTMENT,79.0,3.5,1.0,2015.0,,1.0,1.0,,,1.0,,,,,1.0,,,,
4033,3000429717,https://www.homegate.ch/rent/3000429717,rent,Berg am Irchel,8415,ZH,LOW,47.5651662,8.5943448,Month,2000.0,APARTMENT,110.0,4.5,,,1.0,,1.0,,,,1,,,,,,,,
4034,3000412607,https://www.homegate.ch/rent/3000412607,rent,Berg am Irchel,8415,ZH,MEDIUM,47.5695858,8.5940335,Month,2250.0,APARTMENT,119.0,4.5,,2020.0,,1.0,1.0,,,1.0,1,,,,1.0,,,,
